listing_id,seller_account_age_days,completed_sales,complaint_rate,price_ratio_to_face_value,off_platform_payment,transfer_proof,vip_claimed,vip_transfer_confirmed,seller_rating,refund_policy,urgent_pressure,label_is_risky
L0001,26,3,0.324,2.01,True,True,False,False,2.7,True,True,True
L0002,90,0,0.228,1.63,True,True,False,False,3.7,False,True,True
L0003,978,163,0.053,1.19,False,True,False,False,4.3,False,False,False
L0004,2291,51,0.026,1.42,False,False,True,False,4.3,True,False,False
L0005,132,149,0.013,0.99,False,True,False,False,3.9,False,True,False
L0006,107,4,0.258,0.51,True,True,False,False,3.2,True,True,True
L0007,595,38,0.063,0.81,False,True,False,False,4.7,True,True,False
L0008,14,8,0.137,0.35,True,True,True,False,1.9,False,False,True
L0009,66,2,0.294,1.8,False,False,False,False,3.0,False,False,True
L0010,1894,36,0.069,1.49,False,True,False,False,4.5,True,False,False
L0011,1942,115,0.059,0.87,False,False,False,False,4.4,True,False,False
L0012,193,98,0.043,0.81,False,True,True,True,4.5,True,False,False
L0013,39,8,0.189,0.66,False,True,False,False,3.5,False,True,True
L0014,2301,51,0.066,1.36,False,False,False,False,4.6,True,False,False
L0015,1946,86,0.05,1.14,False,True,True,True,4.9,False,False,False
L0016,60,4,0.243,1.88,True,False,False,False,4.0,False,True,True
L0017,258,141,0.041,1.47,False,True,False,False,4.5,True,True,False
L0018,1246,140,0.021,1.18,False,True,False,False,4.3,False,True,False
L0019,27,7,0.372,1.58,True,False,False,False,1.9,False,True,True
L0020,71,1,0.373,1.27,False,True,True,False,3.1,False,False,True
L0021,1825,36,0.036,1.18,False,True,False,False,4.7,True,False,False
L0022,1768,79,0.063,1.48,False,True,False,False,4.4,True,False,False
L0023,100,5,0.151,2.12,True,False,True,True,3.0,False,False,True
L0024,1106,39,0.042,1.46,False,True,False,False,4.5,True,False,False
L0025,1353,7,0.096,0.79,False,True,True,False,4.4,True,True,False
L0026,4,5,0.301,0.31,True,False,False,False,2.5,False,True,True
L0027,781,53,0.021,1.49,False,True,False,False,4.0,True,False,False
L0028,2156,141,0.005,1.28,False,True,False,False,4.5,True,False,False
L0029,812,55,0.054,1.04,False,True,False,False,4.4,True,False,False
L0030,76,1,0.139,0.64,True,False,False,False,3.7,False,True,True
L0031,67,1,0.256,0.62,False,True,False,False,3.8,False,True,True
L0032,34,4,0.191,0.52,True,True,False,False,3.3,False,True,True
L0033,662,154,0.086,1.39,False,True,False,False,4.6,False,False,False
L0034,1286,47,0.043,1.42,False,True,True,True,3.8,True,False,False
L0035,2270,46,0.038,1.49,False,True,False,False,4.4,True,False,False
L0036,2358,173,0.019,1.22,False,False,True,True,4.2,True,False,False
L0037,271,157,0.011,1.28,False,True,False,False,4.9,True,False,False
